id,Sexe,2024,2023,2022,2021,2019,2018,2017,2016,2015,2014,2013,2012,2011,2009,2005,2004,2003,2002,2001,,année de naissance,zone
0,F,Nat A,Nat A,Nat A,Nat B,Nat B,Nat C,Nat C,Nat C,Prov A,Prov A,Prov B,,,,,,,,,,1995,Bas St-Laurent/Gaspésie
1,M,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,,,,,,,,,,,,,,,1966,Montréal
2,M,,,,,,,,,,,,,,,,,Prov A,,,,,
3,F,,,,,,,,,,,,,,,,,,,Prov B,,,
4,M,,,,,,,,,,,,,,,,,,,Prov B,,,
5,M,,,,,,,,,,,,,,,,,Prov B,Prov B,Prov B,,,
6,M,,,,,,,,,Prov B-I,Prov B,,,,,,,,,,,,
7,M,,,2-Cont-I,2-Cont,2-Cont,3-Conf,3-Conf,Nat A,Nat A,Nat A,Nat A,Nat A,Nat C,,,,,Nat C,Prov A,,1959,Montréal
8,F,,,,2-Cont-I,2-Cont,3-Conf,3-Conf,3-Conf,Nat A,Nat A,Nat A,Nat B,Nat B,Nat C,Prov A,,,,,,1986,Rive-Sud
9,M,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,Nat A,Nat A,Nat A,Nat A,Nat A,,1952,Lanaudière
10,M,,,,,,,,,,,,,,,,,,2-Cont,2-Cont,,,
11,M,,,,,,,,,,,,,,,Prov B,Prov B,,,,,,
12,M,,,,,Prov A-I,Prov A-I,,,Prov B-I,Prov B,,,,,,,,,,,,Rive-Sud
13,M,,,,,1-Int,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,,2-Cont,3-Conf,Nat A,Nat A,Nat A,Nat C,Nat C,,1977,Montréal
14,M,Prov B,Prov B,Prov B,,,,,,,,,,,,,,,,,,1960,Montréal
15,M,,,,,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,Nat A,Nat A,Nat A,,1945,Montréal
16,M,,,,,,,,,,,,,,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,,1946,
17,M,,,,,,,,,,,,,,,Prov A,Prov B,,,,,,
18,M,,,,,,,,,Nat C-I,,Prov A,Prov A,Prov A,,,,,,,,1990,
19,M,,,,,,,,,,,,,,,,Prov A,Prov A,Prov B,Prov B,,,
20,M,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,Nat B,Nat C,Prov A,Prov A,Prov A,Prov B,,1952,Mauricie
21,M,Nat B,Nat C,Nat C,Nat C,Nat C,Nat C,Prov A,Prov A,Prov A,Prov B,,,,,,,,,,,1956,Mauriie
22,F,,,,,,,,,,,,,,,,,,Prov A,Prov A,,,
23,M,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,3-Conf,Nat A,Nat A,Nat A,Nat A,Nat A,,1964,Mauricie
24,M,,,,,,,,,,,,,,,Prov B,Prov B,,,,,,
